Fecha,Partido,Competición,Duración,Equipo,Seleccionar esquema,Goles,xG,Tiros totales,Tiros a portería,% tiros portería,Pases intentados,Pases logrados,% pases,"Posesión del balón, %",Balones perdidos totales,Balones perdidos inicio,Balones perdidos medio,Balones perdidos último tercio,Balones recuperados totales,Balones recuperados inicio,Balones recuperados medio,Balones recuperados último tercio,Duelos totales,Duelos ganados,% duelos ganados
2026-04-05,Arenteiro - Arenas Club 1:2,Spain. Primera Division RFEF,108.0,Arenteiro,3-5-2 (84.36%),1.0,0.55,11.0,4.0,36.36,380.0,284.0,74.74,54.62,132.0,20.0,43.0,69.0,94.0,38.0,40.0,16.0,230.0,106.0,46.09
2026-04-08,Arenas Club - Pontevedra 1:0,Spain. Primera Division RFEF,97.0,Arenas Club,4-3-3 (66.02%),1.0,1.25,11.0,3.0,27.27,490.0,409.0,83.47,57.54,119.0,14.0,46.0,59.0,89.0,49.0,34.0,6.0,267.0,138.0,51.69
2026-04-08,Arenas Club - Pontevedra 1:0,Spain. Primera Division RFEF,97.0,Pontevedra,4-2-3-1 (57.83%),0.0,0.1,2.0,1.0,50.0,300.0,243.0,81.0,42.46,116.0,16.0,51.0,49.0,96.0,38.0,49.0,9.0,267.0,120.0,44.94
2026-04-12,Arenas Club - Celta Fortuna 0:5,Spain. Primera Division RFEF,97.0,Arenas Club,4-4-2 (45.75%),0.0,2.26,15.0,4.0,26.67,326.0,267.0,81.9,38.35,88.0,13.0,34.0,41.0,65.0,28.0,26.0,11.0,139.0,64.0,46.04
2026-04-12,Arenas Club - Celta Fortuna 0:5,Spain. Primera Division RFEF,97.0,Celta Fortuna,3-4-2-1 (100.0%),5.0,1.69,14.0,7.0,50.0,595.0,541.0,90.92,61.65,92.0,23.0,31.0,38.0,67.0,30.0,29.0,8.0,139.0,69.0,49.64
2026-04-18,Tenerife - Arenas Club 2:0,Spain. Primera Division RFEF,97.0,Arenas Club,4-4-2 (100.0%),0.0,0.77,8.0,3.0,37.5,371.0,280.0,75.47,44.9,114.0,23.0,52.0,39.0,83.0,48.0,27.0,8.0,220.0,100.0,45.45
2026-04-18,Tenerife - Arenas Club 2:0,Spain. Primera Division RFEF,97.0,Tenerife,4-4-2 (100.0%),2.0,1.34,9.0,7.0,77.78,444.0,378.0,85.14,55.1,113.0,18.0,31.0,64.0,93.0,34.0,40.0,19.0,220.0,116.0,52.73
2026-04-24,Arenas Club - Mérida AD 2:0,Spain. Primera Division RFEF,98.0,Arenas Club,4-1-4-1 (100.0%),2.0,1.68,18.0,5.0,27.78,415.0,321.0,77.35,56.79,146.0,22.0,65.0,59.0,96.0,49.0,38.0,9.0,183.0,92.0,50.27
2026-04-24,Arenas Club - Mérida AD 2:0,Spain. Primera Division RFEF,98.0,Mérida AD,4-2-3-1 (100.0%),0.0,2.09,15.0,7.0,46.67,402.0,320.0,79.6,43.21,123.0,25.0,43.0,55.0,97.0,31.0,58.0,8.0,183.0,84.0,45.9
2026-05-02,Talavera CF - Arenas Club 2:1,Spain. Primera Division RFEF,103.0,Arenas Club,3-4-3 (21.96%),1.0,0.96,5.0,2.0,40.0,264.0,200.0,75.76,43.42,127.0,35.0,53.0,39.0,79.0,41.0,31.0,7.0,261.0,116.0,44.44
2026-05-02,Talavera CF - Arenas Club 2:1,Spain. Primera Division RFEF,103.0,Talavera CF,5-4-1 (56.5%),2.0,2.61,20.0,7.0,35.0,319.0,255.0,79.94,56.58,109.0,10.0,47.0,52.0,96.0,34.0,50.0,12.0,261.0,139.0,53.26
2026-05-08,Arenas Club - Racing Ferrol 1:1,Spain. Primera Division RFEF,99.0,Arenas Club,4-3-3 (100.0%),1.0,0.64,11.0,6.0,54.55,428.0,348.0,81.31,60.95,107.0,21.0,32.0,54.0,84.0,41.0,30.0,13.0,223.0,105.0,47.09
2026-05-08,Arenas Club - Racing Ferrol 1:1,Spain. Primera Division RFEF,99.0,Racing Ferrol,4-2-3-1 (68.83%),1.0,1.19,9.0,4.0,44.44,281.0,209.0,74.38,39.05,113.0,22.0,32.0,59.0,77.0,34.0,31.0,12.0,223.0,110.0,49.33
2026-05-17,Real Madrid Castilla - Arenas Club 3:3,Spain. Primera Division RFEF,110.0,Arenas Club,4-4-2 (50.2%),3.0,1.47,8.0,4.0,50.0,277.0,204.0,73.65,37.18,120.0,30.0,56.0,34.0,65.0,36.0,25.0,4.0,178.0,86.0,48.31
2026-05-17,Real Madrid Castilla - Arenas Club 3:3,Spain. Primera Division RFEF,110.0,Real Madrid Castilla,4-2-3-1 (100.0%),3.0,3.34,21.0,9.0,42.86,513.0,437.0,85.19,62.82,112.0,14.0,43.0,55.0,85.0,22.0,45.0,18.0,178.0,87.0,48.88
2026-05-23,Arenas Club - Zamora 1:0,Spain. Primera Division RFEF,98.0,Arenas Club,4-4-2 (100.0%),1.0,1.46,17.0,6.0,35.29,433.0,353.0,81.52,54.41,115.0,15.0,47.0,53.0,84.0,36.0,32.0,16.0,215.0,101.0,46.98
2026-05-23,Arenas Club - Zamora 1:0,Spain. Primera Division RFEF,98.0,Zamora,4-2-3-1 (100.0%),0.0,1.37,15.0,4.0,26.67,345.0,289.0,83.77,45.59,104.0,16.0,41.0,47.0,84.0,40.0,29.0,15.0,215.0,109.0,50.7
